Title,Type,Categories,url
個體,Category,**,https://elementworld.fandom.com/zh-tw/wiki/%E5%80%8B%E9%AB%94
種族,Category,**,https://elementworld.fandom.com/zh-tw/wiki/%E7%A8%AE%E6%97%8F
國家,Category,**,https://elementworld.fandom.com/zh-tw/wiki/%E5%9C%8B%E5%AE%B6
地點,Category,**,https://elementworld.fandom.com/zh-tw/wiki/%E5%9C%B0%E5%9C%96
純血者,Category,個體,https://elementworld.fandom.com/zh-tw/wiki/%E7%B4%94%E8%A1%80%E8%80%85
混血者,Category,個體,https://elementworld.fandom.com/zh-tw/wiki/%E6%B7%B7%E8%A1%80%E8%80%85
雜種,Category,個體,https://elementworld.fandom.com/zh-tw/wiki/%E9%9B%9C%E7%A8%AE
國民,Property,國家,
Baffarian,Category,國民,
Alofian,Category,國民,
Utobian,Category,國民,
Hamolian,Category,國民,
Losinian,Category,國民,
Solamanian,Category,國民,
Believer,Category,國民,
IA,Category,種族,
IIA,Category,種族,
IIIA,Category,種族,
IVA,Category,種族,
VA,Category,種族,
VIA,Category,種族,
VIIA,Category,種族,
VIIIA,Category,種族,
IB,Category,種族,
IIB,Category,種族,
IIIB,Category,種族,
IVB,Category,種族,
VB,Category,種族,
VIB,Category,種族,
VIIB,Category,種族,
VIIIB,Category,種族,
Alof,Individual,國家,https://elementworld.fandom.com/zh-tw/wiki/Alof
Baffaria,Individual,國家,https://elementworld.fandom.com/zh-tw/wiki/Baffaria
Utobia,Individual,國家,https://elementworld.fandom.com/zh-tw/wiki/Utobia
Hamol,Individual,國家,https://elementworld.fandom.com/zh-tw/wiki/Hamol
Losin,Individual,國家,https://elementworld.fandom.com/zh-tw/wiki/Losin
Solaman Empire,Individual,國家,https://elementworld.fandom.com/zh-tw/wiki/Solaman_Empire
Firenergilism Country,Individual,國家,https://elementworld.fandom.com/zh-tw/wiki/Firenergilism_Country
Utobia Coast,Individual,地點,https://elementworld.fandom.com/zh-tw/wiki/Utobia_Coast
Utobia Island,Individual,地點,https://elementworld.fandom.com/zh-tw/wiki/Utobia_Island
Barifo,Individual,地點,https://elementworld.fandom.com/zh-tw/wiki/Barifo
Deadzone,Individual,地點,https://elementworld.fandom.com/zh-tw/wiki/Deadzone
AreaGold,Individual,地點,https://elementworld.fandom.com/zh-tw/wiki/AreaGold
Roluf,Individual,地點,https://elementworld.fandom.com/zh-tw/wiki/Roluf
Clof,Individual,地點,https://elementworld.fandom.com/zh-tw/wiki/Clof
HolySolaman,Individual,地點,https://elementworld.fandom.com/zh-tw/wiki/HolySolaman
Harmony,Individual,地點,https://elementworld.fandom.com/zh-tw/wiki/Harmony
Losinger,Individual,地點,https://elementworld.fandom.com/zh-tw/wiki/Losinger
